,Player,Last Rank,Set W%,Game W%,Hold %,1st Serve In %,2nd Serve In %,1st Serve Won %,2nd Serve Won %,Breaking %,Break Pts Saved %,Break Pts Conv. %,Pts Won v 1st Serve %,Pts Won v 2nd Serve %,Opponent Quality,Activity,3mo Set W%,3mo Game W%,3mo Hold %,3mo 1st Serve In %,3mo 2nd Serve In %,3mo 1st Serve Won %,3mo 2nd Serve Won %,3mo Breaking %,3mo Break Pts Saved %,3mo Break Pts Conv. %,3mo Pts Won v 1st Serve %,3mo Pts Won v 2nd Serve %,3mo Opponent Quality,3mo Activity,Hard Set W%,Hard Game W%,Hard Hold %,Hard 1st Serve In %,Hard 2nd Serve In %,Hard 1st Serve Won %,Hard 2nd Serve Won %,Hard Breaking %,Hard Break Pts Saved %,Hard Break Pts Conv. %,Hard Pts Won v 1st Serve %,Hard Pts Won v 2nd Serve %,Hard Opponent Quality,Hard Activity,Hard 3mo Set W%,Hard 3mo Game W%,Hard 3mo Hold %,Hard 3mo 1st Serve In %,Hard 3mo 2nd Serve In %,Hard 3mo 1st Serve Won %,Hard 3mo 2nd Serve Won %,Hard 3mo Breaking %,Hard 3mo Break Pts Saved %,Hard 3mo Break Pts Conv. %,Hard 3mo Pts Won v 1st Serve %,Hard 3mo Pts Won v 2nd Serve %,Hard 3mo Opponent Quality,Hard 3mo Activity,Clay Set W%,Clay Game W%,Clay Hold %,Clay 1st Serve In %,Clay 2nd Serve In %,Clay 1st Serve Won %,Clay 2nd Serve Won %,Clay Breaking %,Clay Break Pts Saved %,Clay Break Pts Conv. %,Clay Pts Won v 1st Serve %,Clay Pts Won v 2nd Serve %,Clay Opponent Quality,Clay Activity,Clay 3mo Set W%,Clay 3mo Game W%,Clay 3mo Hold %,Clay 3mo 1st Serve In %,Clay 3mo 2nd Serve In %,Clay 3mo 1st Serve Won %,Clay 3mo 2nd Serve Won %,Clay 3mo Breaking %,Clay 3mo Break Pts Saved %,Clay 3mo Break Pts Conv. %,Clay 3mo Pts Won v 1st Serve %,Clay 3mo Pts Won v 2nd Serve %,Clay 3mo Opponent Quality,Clay 3mo Activity,Grass Set W%,Grass Game W%,Grass Hold %,Grass 1st Serve In %,Grass 2nd Serve In %,Grass 1st Serve Won %,Grass 2nd Serve Won %,Grass Breaking %,Grass Break Pts Saved %,Grass Break Pts Conv. %,Grass Pts Won v 1st Serve %,Grass Pts Won v 2nd Serve %,Grass Opponent Quality,Grass Activity,Grass 3mo Set W%,Grass 3mo Game W%,Grass 3mo Hold %,Grass 3mo 1st Serve In %,Grass 3mo 2nd Serve In %,Grass 3mo 1st Serve Won %,Grass 3mo 2nd Serve Won %,Grass 3mo Breaking %,Grass 3mo Break Pts Saved %,Grass 3mo Break Pts Conv. %,Grass 3mo Pts Won v 1st Serve %,Grass 3mo Pts Won v 2nd Serve %,Grass 3mo Opponent Quality,Grass 3mo Activity
134,Denis Kudla,137.0,0.34086021505376335,0.4457912879580256,0.7315161788962101,0.6184610207492768,0.9161547763343921,0.6806783943165517,0.5039975272358188,0.18769630197142698,0.5293078979843685,0.4552080398234245,0.24367745019125941,0.4585402075665776,1163.2,0.04246575342465753,,,,,,,,,,,,,,0.0,0.3550724637681159,0.4427267630904858,0.7211692482783815,0.6261245731894509,0.9053967651322712,0.6738561279851581,0.4924411229700463,0.19772181889699952,0.5236933521024429,0.4574074074074075,0.246402442508393,0.4500107640392301,1171.0454545454545,0.031506849315068496,,,,,,,,,,,,,,0.0,0.25,0.434316325999896,0.7476190476190476,0.5892355100820541,0.9501225066199932,0.7339985994397759,0.5126690048640837,0.1527777777777778,0.475,0.6196428571428572,0.21293854572240345,0.4687631027253669,565.0,0.005479452054794521,,,,,,,,,,,,,,0.0,0.35,0.4748872679045093,0.7723214285714285,0.6055369929955413,0.9413561076604555,0.6648806540159924,0.5588862730693025,0.1775,0.6144957983193278,0.2808760683760684,0.2594288969158806,0.4952292518081992,1718.25,0.005479452054794521,,,,,,,,,,,,,,0.0
135,Denis Shapovalov,29.0,0.5350775193798449,0.5138945704796878,0.8311699861887418,0.6044784203791711,0.8135323106328182,0.7633031666139602,0.5261708151170277,0.19929608255092002,0.5962686398992739,0.4010494196528446,0.28044507819295034,0.4734211648911576,1604.6279069767443,0.1178082191780822,,,,,,,,,,,,,,0.0,0.5677777777777777,0.5307148094213505,0.8408011418574574,0.6049149753321837,0.8082186051104888,0.7777776959389616,0.5224307641818774,0.22546554455645362,0.5878123510476452,0.3996390230621865,0.28372661733243265,0.4899654986231213,1610.4333333333334,0.0821917808219178,,,,,,,,,,,,,,0.0,0.47738095238095235,0.4704300311318846,0.8091130811298879,0.6301848422317047,0.832164099046273,0.6970529310096122,0.5288703680462244,0.12205834781465033,0.6556547619047618,0.3714029026529026,0.29972993619498095,0.39171960111937076,2260.1428571428573,0.019178082191780823,,,,,,,,,,,,,,0.0,0.4388888888888889,0.4805020050104769,0.8111550526643406,0.5724139588577394,0.81703532538152,0.7718410938586094,0.5407865786415941,0.16675134400577687,0.5629240585122938,0.44583333333333325,0.24235876627804046,0.4901540707314151,810.8333333333334,0.01643835616438356,,,,,,,,,,,,,,0.0
136,Denis Yevseyev,260.0,0.0,0.3333333333333333,0.6666666666666666,0.5957446808510638,0.9473684210526315,0.7142857142857143,0.5263157894736842,0.0,0.4,0.0,0.28125,0.2727272727272727,887.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5957446808510638,0.9473684210526315,0.7142857142857143,0.5263157894736842,0.0,0.4,0.0,0.28125,0.2727272727272727,887.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Dennis Novak,192.0,0.2121212121212121,0.41750877752942145,0.7134920634920635,0.6384493839008892,0.9023177181903598,0.6657411777857826,0.49810055977508805,0.09172335600907029,0.42397959183673467,0.32878151260504207,0.24726986466888906,0.446398033992019,1044.3636363636363,0.015068493150684932,,,,,,,,,,,,,,0.0,0.19047619047619047,0.4144657863145258,0.6142857142857142,0.6667635409385767,0.8929729729729731,0.6057770338811118,0.4288288288288289,0.14179894179894179,0.47142857142857136,0.5416666666666666,0.28209241907872046,0.4666666666666666,1398.142857142857,0.009589041095890411,,,,,,,,,,,,,,0.0,0.0,0.3684210526315789,0.7777777777777778,0.6140350877192983,0.9090909090909091,0.6,0.6818181818181818,0.0,0.0,0.0,0.2631578947368421,0.34615384615384615,543.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,0.3333333333333333,0.44097166533012566,0.7912698412698412,0.6182733255903987,0.9094047331075633,0.7476190476190476,0.5061330833736494,0.07222222222222223,0.5178571428571429,0.22549019607843138,0.2071513002364066,0.4595441305967622,386.0,0.00410958904109589,,,,,,,,,,,,,,0.0
138,Devin Badenhorst,1717.0,0.0,0.4090909090909091,,,,,,,,,,,,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Diego Duran,,0.16666666666666666,0.372865275142315,,,,,,,,,,,11.5,0.0027397260273972603,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.29411764705882354,,,,,,,,,,,21.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Diego Fernandez Flores,832.0,0.5,0.45454545454545453,0.7272727272727273,0.6229508196721312,0.9565217391304348,0.8421052631578947,0.6086956521739131,0.1,0.5,0.3333333333333333,0.21428571428571427,0.5588235294117647,2.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.45454545454545453,0.7272727272727273,0.6229508196721312,0.9565217391304348,0.8421052631578947,0.6086956521739131,0.1,0.5,0.3333333333333333,0.21428571428571427,0.5588235294117647,2.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Diego Schwartzman,104.0,0.42210526315789465,0.4688412109912691,0.6701664873441563,0.6758010685628626,0.8677354368483972,0.6209077334722747,0.4767801857063787,0.297309355310937,0.5562548170802141,0.4249197587491391,0.32662305164792804,0.5131078435813086,1627.0105263157895,0.13013698630136986,,,,,,,,,,,,,,0.0,0.3597560975609756,0.44668958415522697,0.6985059849432319,0.6661707606249071,0.8666872635395365,0.638677629969262,0.4964912210070756,0.23943663047765215,0.5752580752580753,0.4145068756588364,0.283696160349247,0.5059833640946388,1845.0,0.056164383561643834,,,,,,,,,,,,,,0.0,0.4771739130434782,0.4861149729676466,0.6426571687760947,0.6836780137685486,0.8701226943914867,0.6067279316242622,0.463441502470511,0.3384231926388789,0.5432432121766151,0.42376227460704946,0.36965342011270685,0.509950401001343,1518.2608695652175,0.06301369863013699,,,,,,,,,,,,,,0.0,0.425,0.4830441671618142,0.6901900183150182,0.6774563848277024,0.859118550856324,0.615813348675532,0.4573863172217205,0.33063727163106044,0.5358843537414966,0.4859126984126984,0.28846702805652036,0.5659949759136242,1135.125,0.010958904109589041,,,,,,,,,,,,,,0.0
142,Digvijaypratap Singh,544.0,0.5,0.5789473684210527,,,,,,,,,,,9.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,0.5,0.5789473684210527,,,,,,,,,,,9.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Dimitar Kuzmanov,189.0,0.48148148148148145,0.5126339712349339,0.6837121212121212,0.6535852164839425,0.949305465752834,0.5748796191730975,0.5052768977111083,0.4581529581529582,0.7023809523809524,0.5431547619047619,0.3106020323762259,0.5313136802810716,524.875,0.012328767123287671,,,,,,,,,,,,,,0.0,0.5,0.5872670807453416,0.7755681818181819,0.6207466771849302,0.9371160933660934,0.6777956192358365,0.586862714987715,0.5367965367965368,0.8035714285714285,0.5575396825396824,0.385545905707196,0.5524053030303031,303.25,0.005479452054794521,,,,,,,,,,,,,,0.0,0.4666666666666667,0.4529274836266078,0.5,0.7192622950819672,0.9736842105263157,0.36904761904761907,0.34210526315789475,0.2222222222222222,0.5,0.5,0.16071428571428573,0.4891304347826087,746.5,0.00684931506849315,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
